                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8458,                 4.4268,                  3.694,                 2.3283,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                 0.0766,                 0.0026,                 0.0026
                      2,                 3.1044,                 4.2385,                 2.9542,                 2.5532,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.052295,              0.0052948,              0.0052948
                      3,                 2.9182,                  4.206,                 2.7683,                 2.5303,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.027984,              0.0079842,              0.0079842
                      4,                 2.8245,                 3.9396,                 2.6511,                 2.4332,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.6625,                  3.835,                 2.5263,                 2.3068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.4865,                 3.6842,                 2.4375,                 2.2255,                0.00933,                0.04713,                0.00526,                0.00166,                0.00664,                0.03059,                0.00376,                0.00139,                 4.0898,                 8.0727,                 13.047,                 16.331,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.4156,                 3.5906,                  2.365,                 2.1462,                0.73199,                0.07071,                0.07617,                0.02901,                0.72137,                0.06397,                0.05686,                0.01554,                 2.7211,                 5.0304,                 5.5758,                 2.9011,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.3501,                 3.6173,                 2.3149,                 2.1014,                 0.4251,                0.13724,                  0.081,                0.03079,                0.42179,                 0.1188,                0.08208,                0.03252,                 2.4872,                 4.0994,                 3.1698,                 2.4149,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.2387,                  3.533,                 2.2704,                 2.0384,                0.25021,                0.13188,                 0.1005,                0.04871,                0.76394,                0.07239,                0.08876,                0.03694,                 2.3177,                 3.9111,                  3.906,                 2.2989,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.2116,                 3.4898,                 2.1724,                 1.9884,                0.65257,                0.12502,                0.14923,                0.05286,                0.64436,                0.11575,                0.13302,                0.04492,                 2.3395,                 3.7743,                 3.4665,                 2.2116,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.1422,                 3.4787,                 2.1484,                 1.9848,                0.28361,                0.24486,                0.14664,                0.06491,                 0.7881,                0.11022,                0.13953,                0.05843,                  2.328,                 3.9691,                 3.9905,                 2.2486,               0.009901,               0.009901,               0.009901
                     12,                 2.1413,                  3.461,                 2.1323,                 1.9518,                0.38156,                0.24488,                0.19254,                0.07524,                0.29363,                0.24135,                0.15247,                0.05228,                 2.3722,                  3.601,                 2.7773,                 2.1985,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.0777,                 3.3937,                 2.0792,                 1.9162,                0.34423,                0.26767,                0.20817,                 0.0862,                 0.3136,                0.22229,                0.16993,                0.06516,                 2.2548,                 3.6291,                 2.5648,                  2.098,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.0365,                 3.2535,                 2.0572,                 1.8869,                0.14548,                0.22836,                0.17665,                0.07706,                 0.1513,                0.22318,                 0.1612,                0.06953,                 2.1842,                 3.6144,                  3.663,                 2.0688,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.0238,                 3.2405,                 2.0331,                  1.886,                  0.362,                0.28789,                0.18523,                0.07098,                0.31005,                0.25425,                0.16353,                0.06501,                 2.2946,                 3.6743,                 2.7156,                  2.207,              0.0098614,              0.0098614,              0.0098614
