epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2306,1.02076,2.78893,3.4174,1.41475,0.11628,0.30612,0.11151,0.05448,0.11628,0.30612,0.10975,0.04681,1.5049,2.82104,41.6943,1.83638,0.00028,0.00028,0.00028
2,39.7458,1.54012,3.04703,4.78384,1.84311,0.01794,0.10204,0.0089,0.00299,0.00213,0.06122,0.00099,0.00028,2.90514,29.3714,12.5871,4.40346,0.000574258,0.000574258,0.000574258
3,56.4524,1.91574,3.1294,2.87999,2.09946,0.01024,0.77551,0.01243,0.00399,0.00593,0.44898,0.00392,0.0013,2.61424,86.0839,inf,5.79174,0.000862576,0.000862576,0.000862576
4,72.0094,1.82102,3.43902,2.63758,2.05178,0.00217,0.26531,0.0014,0.00042,0,0,0,0,nan,nan,nan,nan,0.00114495,0.00114495,0.00114495
5,86.6094,1.84529,2.95406,2.45189,2.04748,0.00217,0.26531,0.0014,0.00042,0,0,0,0,nan,nan,nan,nan,0.00142139,0.00142139,0.00142139
6,104.436,2.01075,3.17951,2.61487,2.25373,0.00116,0.04082,0.00061,0.00028,0,0,0,0,nan,nan,nan,nan,0.00169189,0.00169189,0.00169189
7,119.78,1.85656,2.81437,2.45509,2.10545,0.00333,0.40816,0.00238,0.00079,0.00033,0.04082,0.00018,2e-05,nan,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,140.019,1.88046,2.83525,2.54834,2.17043,0.00167,0.20408,0.00104,0.00026,0,0,0,0,nan,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,154.83,1.69881,3.04469,2.40171,1.98247,0.00317,0.26531,0.00555,0.00266,0,0,0,0,3.70915,nan,inf,39.3662,0.0018416,0.0018416,0.0018416
10,174.423,1.63158,2.69775,2.2449,1.94314,0.01159,0.5102,0.00878,0.00351,0.00966,0.46939,0.00734,0.00228,2.79607,30.0097,65.8204,6.56254,0.0018218,0.0018218,0.0018218
11,189.6,1.79381,2.93378,2.21485,2.05092,0.0427,0.38776,0.03486,0.01488,0.04653,0.40816,0.03544,0.01051,2.04336,6.68575,24.7231,2.86887,0.001802,0.001802,0.001802
12,204.69,1.67018,2.6587,2.04877,1.96349,0.0133,0.67347,0.0116,0.00454,0.00967,0.5102,0.00642,0.00192,2.3138,9.79955,43.6097,3.01932,0.0017822,0.0017822,0.0017822
13,219.957,1.72546,2.67251,2.0689,1.99783,0.01335,0.67347,0.01163,0.00489,0.0134,0.73469,0.01152,0.00415,2.14334,6.10441,111.598,3.04719,0.0017624,0.0017624,0.0017624
14,235.047,1.55901,2.5389,1.99933,1.86363,0.03533,0.61224,0.02951,0.01162,0.03478,0.5102,0.02921,0.01061,2.12555,4.73172,33.6255,2.8846,0.0017426,0.0017426,0.0017426
15,254.532,1.56,2.49934,1.8962,1.86477,0.13805,0.32653,0.11679,0.04458,0.15329,0.36735,0.1265,0.0474,1.82719,3.29197,14.1972,2.34183,0.0017228,0.0017228,0.0017228
16,269.682,1.54677,2.60834,1.91221,1.86306,0.27273,0.68881,0.28255,0.1462,0.2471,0.62294,0.26133,0.11246,1.73107,3.93894,6.80233,2.18104,0.001703,0.001703,0.001703
17,293.536,1.38952,2.43175,1.84497,1.73954,0.38073,0.55209,0.44721,0.1798,0.51277,0.40816,0.46028,0.18245,1.60702,2.89844,5.5595,2.06704,0.0016832,0.0016832,0.0016832
18,314.133,1.46934,2.46799,1.75239,1.8163,0.40485,0.43039,0.44768,0.18412,0.46175,0.36735,0.42715,0.16304,1.69322,2.88737,3.14963,2.15316,0.0016634,0.0016634,0.0016634
19,329.674,1.39753,2.40658,1.71378,1.71844,0.60036,0.44898,0.48146,0.19719,0.60222,0.42857,0.46935,0.18988,1.6308,2.9845,4.00177,2.22768,0.0016436,0.0016436,0.0016436
20,358.217,1.4092,2.34259,1.58103,1.69243,0.48312,0.61224,0.52499,0.23007,0.43323,0.55102,0.49293,0.20907,1.61281,2.94539,3.8148,2.11194,0.0016238,0.0016238,0.0016238
21,381.014,1.51153,2.40383,1.69471,1.8269,0.54235,0.57143,0.56921,0.23717,0.56732,0.59184,0.62879,0.23087,1.6444,2.9755,2.317,2.12848,0.001604,0.001604,0.001604
22,397.365,1.35735,2.30755,1.58207,1.73491,0.4566,0.55102,0.49671,0.20783,0.53325,0.46638,0.51616,0.19768,1.67108,2.95832,2.5067,2.18258,0.0015842,0.0015842,0.0015842
23,412.416,1.36295,2.2626,1.56249,1.70788,0.54969,0.54812,0.53756,0.23469,0.5642,0.4898,0.53952,0.23027,1.55512,2.71397,3.11106,2.00376,0.0015644,0.0015644,0.0015644
24,426.382,1.28324,2.21142,1.49341,1.64741,0.46459,0.61224,0.47363,0.19682,0.51221,0.67347,0.54509,0.20864,1.7509,2.64309,2.62969,2.14352,0.0015446,0.0015446,0.0015446
25,440.466,1.28605,2.27859,1.50878,1.65338,0.59833,0.40816,0.51331,0.23952,0.59833,0.40816,0.5052,0.21033,1.70469,2.89159,2.05443,2.07472,0.0015248,0.0015248,0.0015248
26,455.236,1.3146,2.12034,1.48242,1.6519,0.48994,0.60776,0.54911,0.25361,0.48994,0.60776,0.53768,0.2211,1.68262,3.02424,1.95511,2.05871,0.001505,0.001505,0.001505
27,469.281,1.28491,2.25986,1.46763,1.62765,0.61209,0.42857,0.48688,0.24255,0.61893,0.46939,0.57858,0.23076,1.64002,2.71896,1.99002,1.95014,0.0014852,0.0014852,0.0014852
